"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ValaAfshar: Some people would love to have your bad days. https://t.co/jS2gU0SaDy",FALSE,0,NA,2018-10-03 04:39:30,FALSE,NA,"1047345371968618496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Percy_Peru",104,TRUE,FALSE,NA,NA
"2","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 02:30:42,FALSE,NA,"1047312958471249920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VoicesHSPH",7,TRUE,FALSE,NA,NA
"3","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 02:07:28,FALSE,NA,"1047307113377091584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarvardMalaria",7,TRUE,FALSE,NA,NA
"4","@korshawilson Ugh, the worst. I haven’t dared do the Peru trip we always talk about because I dread it. (Hydrate like CRAZY.)",FALSE,0,"korshawilson",2018-10-03 02:01:59,FALSE,"1047299732421447682","1047305733136699393","37746104","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kateflaim",0,FALSE,FALSE,NA,NA
"5","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 00:46:00,FALSE,NA,"1047286610570539008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nehmirabelle",7,TRUE,FALSE,NA,NA
"6","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 00:21:12,FALSE,NA,"1047280371820363782",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","CareFrameOne",7,TRUE,FALSE,NA,NA
"7","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 00:19:26,FALSE,NA,"1047279924191608832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoooyyyyaaanng",7,TRUE,FALSE,NA,NA
"8","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 00:14:33,FALSE,NA,"1047278697470935040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thebiotechclub",7,TRUE,FALSE,NA,NA
"9","RT @HarvardChanSPH: Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual and re…",FALSE,0,NA,2018-10-03 00:10:16,FALSE,NA,"1047277617005711360",NA,"<a href=""https://twitter.com/pubhealth_watch"" rel=""nofollow"">publichealthaggregator</a>","monitor_PH",7,TRUE,FALSE,NA,NA
"10","Patty Garcia, former minister of health of Peru, says the process of translating research into policy is gradual an… https://t.co/PmiVG5ggvH",FALSE,12,NA,2018-10-03 00:10:05,TRUE,NA,"1047277573322035200",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","HarvardChanSPH",7,FALSE,FALSE,NA,NA
"11","RT @HarvardChanSLFP: Yesterday at @HarvardChanSPH, @Pattyjannet1, Senior Leadership Fellow &amp; former minister of health of #peru, presented…",FALSE,0,NA,2018-10-02 20:35:23,FALSE,NA,"1047223541794574338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarvardChanSPH",1,TRUE,FALSE,NA,NA
"12","Yesterday at @HarvardChanSPH, @Pattyjannet1, Senior Leadership Fellow &amp; former minister of health of #peru, present… https://t.co/6dQGg7tvxj",FALSE,15,NA,2018-10-02 20:12:08,TRUE,NA,"1047217690174218240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HarvardChanSLFP",1,FALSE,FALSE,NA,NA
"13","@Milenio No será que los deportaron de Chile,Colombia, Perú o Brasil",FALSE,0,"Milenio",2018-10-02 19:37:00,FALSE,"1047207860101214208","1047208847130185728","24969337","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanpatricio1973",0,FALSE,FALSE,NA,NA
"14","Price Reduction!
Winter Is Coming... get dibs on the perfect ski condo. https://t.co/sLHJPNTaWu",FALSE,0,NA,2018-10-02 17:15:28,FALSE,NA,"1047173232779059200",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KenLeva",0,FALSE,FALSE,NA,NA
"15","Discover intimate and unique Sonesta Posadas del Inca, urban and country inns that are embedded in the rich culture… https://t.co/Bbj9FzNd1B",FALSE,1,NA,2018-10-02 15:13:01,TRUE,NA,"1047142414962610176",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SonestaHotels",0,FALSE,FALSE,NA,NA
"16","RT @ValaAfshar: For the first time ever, doctors have cured a woman with advanced-stage terminal breast cancer 

#BreastCancerAwarenessMont…",FALSE,0,NA,2018-10-02 14:39:16,FALSE,NA,"1047133921190842368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Percy_Peru",116,TRUE,FALSE,NA,NA
"17","RT @SamanthaJPower: Argentina, Canada, Chile, Colombia, Paraguay, and Peru refer Venezuela to the ICC. Maduro will agree with President Tru…",FALSE,0,NA,2018-10-02 14:35:38,FALSE,NA,"1047133009357336576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mijomojo1",34,TRUE,FALSE,NA,NA
"18","RT @alvarobendrell: ¿Cuántas empresas en Perú se animan a reducir su huella de carbono usando luces LED? https://t.co/jMcvXpyP4B",FALSE,0,NA,2018-10-02 13:31:59,FALSE,NA,"1047116989305708544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CafeTaipa",1,TRUE,FALSE,NA,NA
